customer_id,full_name,email,country,city,created_at
C000001,Jordan Haddad,jordan.haddad5372@company.io,CA,Vancouver,2025-03-06
C000002,Jordan Davis,jordan.davis1393@gmail.com,NL,Rotterdam,2024-12-25
C000003,Hashem Lee,hashem.lee6768@mail.com,CA,Toronto,2025-01-23
C000004,Chris Lefevre,chris.lefevre2232@company.io,US,Miami,2025-06-26
C000005,Sam Brown,sam.brown3747@company.io,FR,Lyon,2025-03-28
C000006,Chris Brown,chris.brown7633@proton.me,TR,Istanbul,2025-06-19
C000007,Noah Lefevre,noah.lefevre7142@mail.com,GB,London,2025-02-18
C000008,Ava Hassan,ava.hassan4246@gmail.com,AE,Dubai,2025-03-20
C000009,Morgan Johnson,morgan.johnson6172@proton.me,GB,Bristol,2025-08-09
C000010,Alex Dubois,alex.dubois9193@mail.com,SA,Dammam,2024-12-31
C000011,Olivia Moghli,olivia.moghli4791@company.io,JO,Zarqa,2025-08-27
C000012,Emma Nusair,emma.nusair3244@gmail.com,SA,Jeddah,2025-04-08
C000013,Yara Davis,yara.davis3300@gmail.com,NL,Amsterdam,2025-01-12
C000014,Noah Wilson,noah.wilson7548@mail.com,FR,Paris,2025-05-24
C000015,Morgan Khan,morgan.khan1093@gmail.com,DE,Munich,2025-04-12
C000016,Ava Smith,ava.smith4780@outlook.com,GB,Manchester,2025-04-27
C000017,Maya Yilmaz,maya.yilmaz9630@outlook.com,SA,Dammam,2025-02-02
C000018,Yara Hassan,yara.hassan9717@mail.com,AE,Sharjah,2025-05-05
C000019,Jordan Wilson,jordan.wilson819@company.io,DE,Hamburg,2025-03-13
C000020,Maya Lefevre,maya.lefevre5342@gmail.com,CA,Vancouver,2025-04-01
C000021,Olivia Fischer,olivia.fischer7260@gmail.com,JO,Irbid,2025-07-22
C000022,Yousef Garcia,yousef.garcia4106@mail.com,TR,Ankara,2025-01-20
C000023,Taylor Moghli,taylor.moghli1088@gmail.com,DE,Hamburg,2025-02-17
C000024,Zaid Johnson,zaid.johnson4195@gmail.com,CA,Toronto,2025-02-19
C000025,Yousef Hassan,yousef.hassan317@gmail.com,JO,Zarqa,2025-05-19
C000026,Yara Garcia,yara.garcia2054@company.io,GB,London,2025-05-10
C000027,Sara Yilmaz,sara.yilmaz2466@outlook.com,AE,Sharjah,2025-03-08
C000028,Morgan Moghli,morgan.moghli7675@outlook.com,FR,Lyon,2025-06-29
C000029,Jordan Khan,jordan.khan1788@company.io,SA,Dammam,2025-08-06
C000030,Noah Garcia,noah.garcia8277@mail.com,DE,Berlin,2025-08-24
C000031,Alex Smith,alex.smith3778@mail.com,DE,Berlin,2025-08-23
C000032,Yousef Chen,yousef.chen4046@mail.com,NL,Utrecht,2025-04-18
C000033,Maya Chen,maya.chen4212@gmail.com,NL,Rotterdam,2025-02-10
C000034,Omar Davis,omar.davis7137@outlook.com,AE,Abu Dhabi,2025-05-21
C000035,Adam Lefevre,adam.lefevre7269@proton.me,CA,Vancouver,2025-07-16
C000036,Sofia Moghli,sofia.moghli9674@gmail.com,GB,London,2025-04-12
C000037,Olivia Lee,olivia.lee630@company.io,DE,Hamburg,2025-06-24
C000038,Omar Khan,omar.khan6603@company.io,AE,Dubai,2025-04-23
C000039,Maya Abdullah,maya.abdullah3960@mail.com,GB,Manchester,2025-05-07
C000040,Yara Khan,yara.khan162@proton.me,US,Chicago,2025-01-15
